,Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1430853,,,,,,,,1,14/01/2022,Vente,"620000,00",75.0,,RUE,8590,SEGALIER,33000.0,BORDEAUX,33,63,,LA,54,,,,,,,,,,,,0,2.0,Appartement,,40.0,2.0,S,,57.0
1430854,,,,,,,,1,14/01/2022,Vente,"620000,00",75.0,,RUE,8590,SEGALIER,33000.0,BORDEAUX,33,63,,LA,54,,,,,,,,,,,,0,2.0,Appartement,,40.0,2.0,S,,57.0
1430855,,,,,,,,1,14/01/2022,Vente,"620000,00",75.0,,RUE,8590,SEGALIER,33000.0,BORDEAUX,33,63,,LA,54,,,,,,,,,,,,0,2.0,Appartement,,39.0,2.0,S,,57.0
1430863,,,,,,,,1,11/01/2022,Vente,"534830,00",5.0,,RUE,7580,PRIVAT,33000.0,BORDEAUX,33,63,,IA,22,,,,,,,,,,,,0,1.0,Maison,,56.0,3.0,S,,214.0
1430889,,,,,,,,1,06/01/2022,Vente,"170000,00",57.0,,RUE,3765,FURTADO,33800.0,BORDEAUX,33,63,,CW,108,,11,"36,15",,,,,,,,,1,2.0,Appartement,,27.0,1.0,,,
1430890,,,,,,,,1,17/01/2022,Vente,"216410,00",70.0,,RUE,2935,DUPATY,33300.0,BORDEAUX,33,63,,RS,125,,105,,,,,,,,,,1,2.0,Appartement,,44.0,2.0,,,
1430900,,,,,,,,1,11/01/2022,Vente,"191000,00",7.0,,RUE,6835,OSCAR ET JEAN AURIAC,33800.0,BORDEAUX,33,63,,BY,114,,110,,150,,,,,,,,2,2.0,Appartement,,57.0,3.0,,,
1430901,,,,,,,,1,03/01/2022,Vente,"342400,00",35.0,,RUE,0450,AUDUBERT,33300.0,BORDEAUX,33,63,,SI,135,,,,,,,,,,,,0,1.0,Maison,,67.0,5.0,S,,209.0
1430912,,,,,,,,1,03/01/2022,Vente,"253000,00",80.0,,RUE,6800,DES ORANGERS,33200.0,BORDEAUX,33,63,,YC,16,,1,"73,38",,,,,,,,,1,2.0,Appartement,,68.0,4.0,,,
1430914,,,,,,,,1,13/01/2022,Vente,"300000,00",22.0,,RUE,1370,CAILLOU,33200.0,BORDEAUX,33,63,,YX,26,,,,,,,,,,,,0,1.0,Maison,,56.0,3.0,S,,591.0
1430915,,,,,,,,1,17/01/2022,Vente,"110000,00",14.0,,PAS,3690,FRANCOIS DUCOM,33800.0,BORDEAUX,33,63,,EK,352,,8,,,,,,,,,,1,2.0,Appartement,,23.0,1.0,,,
1430921,,,,,,,,1,11/01/2022,Vente,"339000,00",11.0,,RUE,4545,DU JARDIN PUBLIC,33000.0,BORDEAUX,33,63,,PN,199,,10,,,,,,,,,,1,2.0,Appartement,,79.0,3.0,,,
1430922,,,,,,,,1,10/01/2022,Vente,"128500,00",90.0,,CRS,7711,DE QUEBEC,33300.0,BORDEAUX,33,63,,TH,119,,203,"43,91",,,,,,,,,1,2.0,Appartement,,43.0,2.0,,,
1430928,,,,,,,,1,13/01/2022,Vente,"1570730,00",10.0,,RUE,4380,HENRI RODEL,33000.0,BORDEAUX,33,63,,PN,164,,,,,,,,,,,,0,1.0,Maison,,200.0,6.0,S,,111.0
1430938,,,,,,,,1,05/01/2022,Vente,"291000,00",43.0,,RUE,4135,DE GRAMMONT,33800.0,BORDEAUX,33,63,,BV,114,,,,,,,,,,,,0,1.0,Maison,,51.0,3.0,S,,130.0
1430940,,,,,,,,1,11/01/2022,Vente,"139600,00",53.0,,RUE,8565,SAUTEYRON,33000.0,BORDEAUX,33,63,,DU,86,,20,"24,07",57,,,,,,,,2,2.0,Appartement,,28.0,1.0,,,
1430948,,,,,,,,1,18/01/2022,Vente,"400000,00",15.0,,RUE,4380,HENRI RODEL,33000.0,BORDEAUX,33,63,,PN,145,,10,"76,59",11,,19,,,,,,3,2.0,Appartement,,55.0,3.0,,,
1430955,,,,,,,,1,13/01/2022,Vente,"214000,00",255.0,,CRS,5990,DU MARECHAL GALLIENI,33000.0,BORDEAUX,33,63,,ID,257,,13,,,,,,,,,,1,2.0,Appartement,,72.0,3.0,,,
1430994,,,,,,,,1,11/01/2022,Vente,"528000,00",144.0,,RUE,4840,JULES FERRY,33200.0,BORDEAUX,33,63,,NH,83,,26,,,,,,,,,,1,2.0,Appartement,,126.0,4.0,,,
1431008,,,,,,,,1,19/01/2022,Vente,"173450,00",22.0,,RUE,9480,WUSTENBERG,33000.0,BORDEAUX,33,63,,LP,100,,27,,,,,,,,,,1,2.0,Appartement,,27.0,2.0,,,
1431010,,,,,,,,1,07/01/2022,Vente,"337000,00",37.0,,RUE,8230,SAINT FRANCOIS,33000.0,BORDEAUX,33,63,,DP,123,,5,"65,70",,,,,,,,,1,2.0,Appartement,,63.0,2.0,,,
1431019,,,,,,,,1,10/01/2022,Vente,"555000,00",59.0,,RUE,8875,TERRASSON,33800.0,BORDEAUX,33,63,,EM,377,,,,,,,,,,,,0,1.0,Maison,,120.0,4.0,S,,50.0
1431026,,,,,,,,1,14/01/2022,Vente,"276670,00",2.0,T,RUE,0910,DE BETHMANN,33000.0,BORDEAUX,33,63,,ID,324,,36,"67,30",,,,,,,,,1,2.0,Appartement,,65.0,3.0,,,
1431033,,,,,,,,1,17/01/2022,Vente,"255000,00",5.0,,RUE,4075,GONDALMA,33200.0,BORDEAUX,33,63,,VS,44,,24,,9,"75,28",,,,,,,2,2.0,Appartement,,75.0,3.0,,,
1431659,,,,,,,,1,18/01/2022,Vente,"986600,00",18.0,,QUAI,0540,BACALAN,33300.0,BORDEAUX,33,63,,RS,51,,7,"191,76",8,,,,,,,,2,2.0,Appartement,,191.0,6.0,,,
1431661,,,,,,,,1,05/01/2022,Vente,"190000,00",210.0,,RUE,8390,SAINTE CATHERINE,33000.0,BORDEAUX,33,63,,DS,100,,9,"56,95",,,,,,,,,1,2.0,Appartement,,40.0,2.0,,,
1431664,,,,,,,,1,07/01/2022,Vente,"730000,00",65.0,,RUE,6090,MARSAN,33300.0,BORDEAUX,33,63,,PT,117,,,,,,,,,,,,0,1.0,Maison,,132.0,8.0,S,,234.0
1431682,,,,,,,,1,05/01/2022,Vente,"195000,00",10.0,,RUE,6705,NEY,33200.0,BORDEAUX,33,63,,VP,13,,22,"84,89",,,,,,,,,1,2.0,Appartement,,78.0,4.0,,,
1431688,,,,,,,,1,14/01/2022,Vente,"200000,00",16.0,,RUE,6415,DE LA MISERICORDE,33000.0,BORDEAUX,33,63,,DT,218,,7,"40,30",,,,,,,,,1,2.0,Appartement,,41.0,2.0,,,
1431702,,,,,,,,1,13/01/2022,Vente,"360000,00",105.0,,RUE,6090,MARSAN,33300.0,BORDEAUX,33,63,,PT,20,,,,,,,,,,,,0,1.0,Maison,,80.0,2.0,S,,139.0
1431704,,,,,,,,1,03/01/2022,Vente,"272000,00",17.0,,RUE,5930,MARCEL,33800.0,BORDEAUX,33,63,,EH,237,,156,,,,,,,,,,1,2.0,Appartement,,76.0,3.0,,,
1431715,,,,,,,,1,03/01/2022,Vente,"687000,00",18.0,,RUE,7080,DU PAVEIL,33000.0,BORDEAUX,33,63,,OY,186,,,,,,,,,,,,0,1.0,Maison,,200.0,6.0,S,,121.0
1431722,,,,,,,,1,06/01/2022,Vente,"288000,00",54.0,,RUE,7700,PUYSEGUR,33800.0,BORDEAUX,33,63,,ER,137,,15,"66,36",8,,,,,,,,2,2.0,Appartement,,69.0,3.0,,,
1431727,,,,,,,,1,10/01/2022,Vente,"100000,00",45.0,,RUE,8400,SAINTE COLOMBE,33000.0,BORDEAUX,33,63,,HD,104,,36,"16,38",,,,,,,,,1,2.0,Appartement,,15.0,1.0,,,
1431737,,,,,,,,1,06/01/2022,Vente,"450000,00",24.0,,ALL,9030,DE TOURNY,33000.0,BORDEAUX,33,63,,KO,106,,7,"55,12",,,,,,,,,1,2.0,Appartement,,55.0,2.0,,,
1431738,,,,,,,,1,12/01/2022,Vente,"182990,00",19.0,,RUE,3400,DES FAUSSETS,33000.0,BORDEAUX,33,63,,KM,274,,5,"26,70",,,,,,,,,1,2.0,Appartement,,47.0,2.0,,,
1431757,,,,,,,,1,12/01/2022,Vente,"365000,00",5.0,,RUE,3860,GASPARD PHILIPPE,33800.0,BORDEAUX,33,63,,DO,201,,11,"70,37",,,,,,,,,1,2.0,Appartement,,69.0,3.0,,,
1431762,,,,,,,,1,19/01/2022,Vente,"440800,00",50.0,,RUE,7960,ROBERT D ENNERY,33200.0,BORDEAUX,33,63,,MW,119,,,,,,,,,,,,0,1.0,Maison,,56.0,3.0,S,,113.0
1431763,,,,,,,,1,21/01/2022,Vente,"570500,00",25.0,,RUE,3765,FURTADO,33800.0,BORDEAUX,33,63,,CX,207,,,,,,,,,,,,0,1.0,Maison,,150.0,4.0,S,,152.0
